Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
Torch Technologies,"Defense & Engineering (IT, Cybersecurity, Systems Engineering)",Cummings Research Park,https://torchtechnologies.com,https://www.linkedin.com/company/torch-technologies,"Still Serving Veterans; Junior Achievement; Huntsville Art League; Huntsville/Madison County Veterans Park; EarlyWorks Children's Museum; Christmas Charities Year-Round; Community Foundation of Greater Huntsville; American Heart Association; National Association of Black Engineers","https://torchhelps.org; https://givehsv.org","Monetary donations (Torch Helps $10K quarterly grants); Employee payroll deductions with corporate matching; Volunteer hours; Event sponsorship (Heart Walk, ALS Walk, robotics teams, golf tournaments)"
Mazda Toyota Manufacturing (MTM),Automotive Manufacturing,Limestone County / North Huntsville,https://mazdatoyota.com,https://www.linkedin.com/company/mazda-toyota-manufacturing,"Huntsville Hospital Foundation; AGAPE of North Alabama; United Way of Madison County; Drake State Technical College; Cap & Gown Project; KTECH/Kids to Love; Arts Huntsville; Girls Inc.; Still Serving Veterans; Big Brothers Big Sisters of the Tennessee Valley; Crisis Services of North Alabama","https://givehsv.org; https://mazdatoyota.com/our-grant-fund/","Monetary donations ($2.5M+ since 2018 via MTM Grant Fund); Event sponsorship; STEM education funding ($750K at groundbreaking)"
IronMountain Solutions,Technology Solutions / Defense,Cummings Research Park,https://www.ironmountainsolutions.com,https://www.linkedin.com/company/ironmountain-solutions,"Kids to Love; National Children's Advocacy Center; Free2Teach; Huntsville Hospital Foundation; Downtown Rescue Mission; Habitat for Humanity; Land Trust of North Alabama; Make-A-Wish Alabama; Boys & Girls Clubs of North Alabama; Still Serving Veterans; Alabama School of Cyber Technology (ASCTE) Foundation","https://www.ironmountainsolutions.com/community/; https://givehsv.org","Monetary donations (Employee Peaks Fund — $360K+ since 2018, grants twice yearly); Employee payroll deductions (65-82% participation); Volunteer hours; In-kind donations (toy drives)"
Vector Wealth Strategies,Financial Planning / Wealth Management,Downtown Huntsville,https://www.vectorwealthstrategies.com,https://www.linkedin.com/company/vector-wealth-strategies,"First Stop; HATCH; United Cerebral Palsy of Huntsville; The Caring Link; Clínica Médica Moscati; Community of Hope; AGAPE of North Alabama; CornerStone Initiative; Huntsville Inner City Learning Center; CNI Solutions; The Generosity Foundation; Habitat for Humanity","https://www.vectorwealthstrategies.com/making-a-difference/community-impact; https://givehsv.org","Monetary donations (Community Impact Fund — 10% of annual profits; VectorCARES employee fund); Volunteer hours"
Mission Multiplier,Cybersecurity / IT Services,Downtown Huntsville,https://missionmultiplier.com,https://www.linkedin.com/company/mission-multiplier,"R. Fathers M.A.D.; Community Foundation of Greater Huntsville; various local nonprofits listed in their Non-Profit Organization Directory","https://missionmultiplier.com/community-engagement/","Monetary donations (company-based contributions tied to performance); Employee giving program; Volunteer hours"
Yellowhammer Brewing,Brewery / Restaurant,Campus 805 / West Huntsville,https://www.yellowhammerbrewery.com,https://www.instagram.com/yellowhammer_brewing/,"Free The Hops; Alabama Brewers Guild; local nonprofits (accepts donation requests); COVID-19 first responder support","https://www.yellowhammerbrewery.com/donations","In-kind goods/services (produced 1,000+ gallons hand sanitizer for first responders during COVID); Event sponsorship; Donation request program for nonprofits"
"Morris, King & Hodge, P.C.",Personal Injury Law Firm,Downtown Huntsville,https://www.mkhlawyers.com,"https://www.facebook.com/MorrisKingHodgePC; https://twitter.com/MKH_lawyers","MADD (Mothers Against Drunk Driving); Downtown Rescue Mission; Village of Promise; Huntsville Police Citizens' Foundation & Fallen Officers Memorial; Rocket City Swim League; Madison County Volunteer Lawyers; Manna House; Sharon Johnston Park","https://www.mkhlawyers.com/community-involvement/","Monetary donations; Event sponsorship (Ice Skating in the Park, high school sports programs); Distracted-driving awareness programs; Scholarships"
Landers McLarty Subaru,Auto Dealership,South Huntsville,https://www.landersmclartysubaru.net,"https://www.facebook.com/LandersMcLartySubaru","Free 2 Teach; Food Bank of North Alabama; Enable Madison County; Kids to Love; Downtown Rescue Mission; Rose of Sharon Soup Kitchen; Clearview Cancer Institute; The Green Team / Arbor Day Foundation; Operation Warm; Greater Huntsville Humane Society","https://www.landersmclartysubaru.net/community-sponsorship.htm; https://www.landersmclartysubaru.net/subaru-love-promise.htm","Monetary donations (Subaru Share the Love — $80K to Free 2 Teach, $30K+ to Enable Madison County, $10.8K to Food Bank); In-kind goods (shoes/socks, blessing bags, blankets, trees); Volunteer hours (built wheelchair ramps, delivered donations); Event sponsorship"
Matt Curtis Real Estate,Real Estate,Providence / South Huntsville,https://www.mattcurtisrealestate.com,"https://www.facebook.com/MattCurtisRealEstate","Kids to Love (Curtis Cares Center); Casas por Cristo; Habitat for Humanity","https://www.mattcurtisrealestate.com/about.php","Monetary donations (funds 1 home built in Central America per 100 homes sold — 148 homes built to date); In-kind services; Volunteer hours (mission trips)"
"Dynetics (Leidos subsidiary)",Defense / Aerospace Engineering,Cummings Research Park,https://www.dynetics.com,https://www.linkedin.com/company/dynetics,"Schools Foundation of Huntsville; Community Foundation of Greater Huntsville; university engineering programs across Alabama; COVID-19 PPE donations","https://givehsv.org","Monetary donations ($3M+ to Community Foundation via ESOP transaction); In-kind goods (PPE during COVID); Event sponsorship; Education/STEM investment"
