Business Name,Industry/Category,General Location,Website,Social Media,Nonprofits Supported (Names),Nonprofit Links,Type of Contribution
"Austal USA",Shipbuilding & Defense Manufacturing,"Mobile (Brookley Industrial Complex, Blakeley Island)",https://www.austalusa.com,https://www.linkedin.com/company/austalusa,"United Way of Southwest Alabama; Feeding the Gulf Coast; Boys & Girls Clubs of South Alabama; Downtown Mobile Alliance; USA Health; Flight Works Alabama; local STEM education programs; various community organizations (50+ nonprofits annually)","https://usa.austal.com/austal-community; https://uwswa.org/","Annual corporate giving program ($500,000+ to local community initiatives); Austal USA Charity Golf Invitational ($2.4M+ raised to date for United Way and local charities); $300,000+ raised for United Way through supplier network (2020); $100,000+ in COVID-19 community recovery grants (2020); 3D-printed PPE for USA Health; Austal USA Volunteer Network (employee volunteer hours); In-kind donations; Workforce development programs; STEM education support"
"Airbus Americas",Aerospace Manufacturing,"Mobile (Mobile Aeroplex at Brookley)",https://www.airbus.com/en,https://www.linkedin.com/company/airbus,"United Way of Southwest Alabama; The Salvation Army of Coastal Alabama; Mobile Area Education Foundation (MAEF); University of South Alabama; Exploreum Science Center; Mobile County Public Schools; Flight Works Alabama; Airbus Foundation Flying Challenge participants","https://www.airbus.com/en/sustainability/enabling-prosperity/community-impact; https://www.airbus.com/en/sustainability/airbus-foundation","Airbus Foundation corporate philanthropy; Airbus Foundation Flying Challenge (12-week STEM mentoring program for students); Holiday gift drives for Salvation Army Family Haven shelter families; Aircraft parts donations to universities (A330 elevator worth ~$750K to USA); Employee volunteerism via +impact digital platform; STEM education partnerships with local schools and universities; Internships and workforce development; Event sponsorship"
"Hancock Whitney Bank",Banking & Financial Services,"Mobile (multiple locations; HQ Gulfport, MS)",https://www.hancockwhitney.com,https://www.linkedin.com/company/hancock-whitney,"United Way of Southwest Alabama; University of South Alabama; 100 Black Men of Greater Mobile; Reese's Senior Bowl; Community Foundation of South Alabama; Greater New Orleans Foundation (grants partner); various 501(c)(3) organizations across Gulf South","https://www.hancockwhitney.com/giving-and-volunteering; https://www.hancockwhitney.com/our-community-commitment; https://www.hancockwhitney.com/sponsorships","Monetary donations ($20,000 pledge to USA Social Justice Scholarship; dollar-for-dollar matching to $40K impact); Hancock Whitney Opportunity Grants (up to $25,000 competitive grants to nonprofits annually); Employee United Way Pacesetter campaigns (~$250,000 annually); Community Connection paid volunteer day for associates; Financial Cents financial literacy education program; Hancock Whitney Stadium naming sponsorship (University of South Alabama); Event sponsorship (Reese's Senior Bowl); Board service"
"AM/NS Calvert",Steel Manufacturing,"Calvert (35 miles north of Mobile, Mobile County)",https://northamerica.arcelormittal.com/our-operations/am-ns-calvert,https://www.linkedin.com/company/amnscalvert,"Mobile Baykeeper; Mobile Area Education Foundation; Gulf Coast Exploreum Science Center; United Way of Southwest Alabama; Catalyst: Women in Industry Conference; local schools and workforce training programs","https://najobs.arcelormittal.com/calvert/content/FamilyAndCommunityAMNSCalvert/; https://uwswa.org/our-impact/donors/","Monetary donations and annual funding to partner nonprofits; Advisory board participation for local organizations; Annual Family Day at Greater Gulf State Fair (community engagement for 4,000+ employees & families); Sponsorship of Catalyst: Women in Industry Conference; Environmental stewardship partnerships (Mobile Baykeeper); Workforce development and education investments; Employee volunteerism; Community development investments"
"Palmer's Toyota Superstore",Automotive Dealership,"Mobile (470 Schillinger Rd S)",https://www.palmerstoyota.com,https://x.com/palmerstoyota_,"Child Advocacy Center; Ronald McDonald House Charities of Mobile; United Way of Southwest Alabama; local schools and youth organizations","https://uwswa.org/our-impact/donors/","Monetary donations ($190,000+ donated to Child Advocacy Center by owner Keith Palmer); Board membership (Keith Palmer serves on Child Advocacy Center board); Major contributor to Ronald McDonald House Charities of Mobile; United Way corporate campaign partner (Pacesetter-level donor); Fundraising campaigns and charitable events; Local school and community organization sponsorships; Youth-focused charitable programs"
"Burr & Forman LLP",Law Firm,"Mobile (11 North Water St, RSA Tower Suite 22200)",https://www.burr.com,https://www.linkedin.com/company/burrforman,"Alabama Association of Nonprofits; United Way of Southwest Alabama; Joshua House Foundation; various local hunger relief organizations; cancer research organizations; youth mentoring programs","https://www.burr.com/about/at-a-glance; https://www.alabamanonprofits.org/sponsors/burr-and-forman-llp","Pro bono legal assistance to individuals in financial need; Social Justice Volunteerism Program food drives ($3,000+ raised plus non-perishable food donations); Monetary donations to cancer research organizations; Employee volunteer hours for food banks and youth mentoring; Nonprofit board service by attorneys; Alabama Association of Nonprofits sponsor; Community service and civic participation"
"Volkert, Inc.",Infrastructure Engineering,"Mobile (11 N. Water St. Suite 18290)",https://volkert.com,https://www.linkedin.com/company/volkert-inc.,"United Way of Southwest Alabama; local food banks; STEM education programs; cancer research organizations; disaster relief organizations; various community nonprofits","https://volkert.com/about/volkert-serves/; https://uwswa.org/our-impact/donors/","100 Acts of Service initiative (centennial company-wide volunteer campaign); Employee volunteerism with nonprofits, schools, food banks, and environmental programs; STEM education support in local communities; Cancer research fundraising and awareness events; Disaster relief supply runs and donations following hurricanes and floods; Monetary donations; United Way corporate campaign partner; Community development investments"
"Gulf Distributing Company",Beverage Distribution,"Mobile (401 N. Water Street)",https://gulfdistributing.com,https://www.linkedin.com/company/gulf-distributing-holdings-llc,"United Way of Southwest Alabama; local community organizations; Alabama Career Center; Mobile Housing Authority job fairs; various Mobile-area nonprofits and community agencies","https://gulfdistributing.com/gulfdistributingofmobile/who-we-are/; https://uwswa.org/our-impact/donors/","Monetary donations to United Way and local nonprofits; Community reinvestment through New Markets Tax Credit project (facility rehabilitation creating 65+ jobs in distressed community); Partnerships with Alabama Career Center and Alabama Community College System for workforce recruitment; Collaboration with Mobile Housing Authority on annual job fairs for local hiring; Employee engagement and community involvement; Event sponsorship; In-kind support for local organizations"
"Regions Bank",Banking & Financial Services,"Mobile (multiple branch locations)",https://www.regions.com,https://www.linkedin.com/company/regions-financial-corporation,"United Way of Southwest Alabama; Community Foundation of South Alabama; Commonwealth National Bank (CDFI/MDI investment); Feeding the Gulf Coast; various 501(c)(3) organizations across 16-state footprint","https://www.regions.com/about-regions/community-engagement; https://www.regions.com/about-regions/community-engagement/regions-foundation","Regions Foundation grantmaking ($34M+ in 400+ grants since 2018); $14.6M invested in racial equity and economic empowerment programs (including Mobile-based Commonwealth National Bank); What A Difference A Day Makes (paid volunteer day for associates); Share the Good annual volunteer initiative; Financial education seminars through Regions Next Step program; Nonprofit board service by associates; Skills-based pro bono assistance to nonprofits and CDFIs; Community development lending; Event and arts sponsorships"
"Community Foundation of South Alabama (CFSA)",Philanthropy / Community Foundation,"Mobile (212 St. Joseph St)",https://www.communityfoundationsa.org,https://www.linkedin.com/company/the-community-foundation-of-south-alabama,"Feeding the Gulf Coast; Catholic Social Services; The Salvation Army; Dumas Wesley; Housing First Inc.; McKemie Place; Family Promise of Coastal Alabama; Mobile County Public Schools; Volunteers of America; Ozanam Charitable Pharmacy; Victory Health Partners; Flight Works Alabama; numerous southwest Alabama nonprofits","https://www.communityfoundationsa.org/; https://www.communityfoundationsa.org/news/","Hub for corporate and individual charitable giving in southwest Alabama ($75M+ in grants since 1976; ~$3.8M in annual giving); Mobile Area Disaster Relief Fund ($355,000 awarded to 12 nonprofits during COVID-19); Workforce Training Initiative ($50,000 grant for advanced manufacturing training facility); Donor-advised funds and corporate-advised funds; Scholarship administration; Endowment management for nonprofit sustainability; Grant programs for arts, education, health, environment, and human services; Connects businesses to nonprofit partners across 8-county region"
